# Creation le 07/12/2009
#
# Ouvrages, chapitres de livres, édition de livres, cours écrits
#
# Ce fichier est utilisé pour créer les pages html des Ouvrages; chapitres... (publi.bo.xxx.html)
# 7 champs sont possibles et le séparateur de champ est |
# Les lignes doivent commencer et finir avec un |
# Le format d'une ligne est :
# |année xxxx|Auteur(s)|Titre [in....]|Editeur|Références (lieu,vol, pages...)|Texte du lien hypertexte|lien (url)|
#
# Attention il ne doit pas y avoir " dans les champs
# On peut les remplacer par leur code en html ==> &quot;
#
2000|P. Manneville|Chapter 18: Nonlinear physics and complexity. In: A Physicist's Desk Reference (3rd Edition)|L.G. Trigg, editor, American Institute of Physics and Springer||||
2000|P. Manneville|La terre sous l'angle des syst&egrave;mes dynamiques. In: La Physique et la Terre|éd. par H.-C. Nataf et J. Somm&eacute;ria| CNRS-&Eacute;ditions/Belin, pp. 70-85|||
2000|Delbende I. et Chomaz J.-M|Bursting of a swirling jet stemming from a localized perturbation. In: Vortex Structure and Dynamics|éd. par A. Maurel et P. Petitjeans, Lecture Notes in Physics, Springer| pp. 136-142|||
2001|de Langre E|Fluides et Solides|&eacute;ditions de l'&Eacute;cole Polytechnique||||
2001|Manneville P. et Dubois-Violette E|Nematic liquid crystals: instabilities. In: Encyclopedia of Materials: Science and Technology|Elsevier| vol. 6, pp. 6090-6094|||
2001|Manneville P|Dynamique non-lin&eacute;aire et chaos|DEA de Physique des Liquides, &Eacute;cole doctorale de la r&eacute;gion parisienne| 233 p|||
2001|Manneville P|Instabilit&eacute;s, chaos et turbulence|&Eacute;cole Nationale Sup&eacute;rieure de Techniques Avanc&eacute;es| 188 p|||
2001|Manneville P|Dynamique non-lin&eacute;aire appliqu&eacute;e au chaos et &agrave; son contr&ocirc;le|DEA de M&eacute;canique (Paris VI) et DEA de Dynamique des Fluides et des Transferts (Paris XI)| 55 p|||
2002|de Langre E|Dynamique et vibrations|polycopi&eacute;, &Eacute;cole Polytechnique| 90 p|||
2002|de Langre E. et Ziada S|Engineering application of fluid-structure interaction research|Special Issue of the Journal of Fluids and Structures| 148 p|||
2002|H&eacute;mon P|Chapitre Notions d'a&eacute;rodynamique et d'a&eacute;ro&eacute;lasticit&eacute; dans &quot;Comportement au vent des ponts&quot;|Presses de l'ENPC| 66 p|||
2002|Sellier A|A&eacute;rodynamique compressible|polycopi&eacute;, &Eacute;cole Polytechnique| 222 p|||
2003|de Langre E. et Amabili M|Axial and internal flow. In: Special|Issue of the Journal of Fluids and Structures||||
2003|Manneville P|Chapter 17: Nonlinear physics and complexity. In: A Physicist's Desk Reference (3rd Edition)|éd. par Cohen E.R., Lide D.R. et Trigg G.L., American Institute of Physics and Springer| pp. 522-543|||
2003|Manneville P|Dynamique non-linéaire et chaos|DEA de Physique des Liquides, École doctorale de la région parisienne| 233 p|||
2003|Manneville P|Dynamique non-linéaire appliquée au chaos et à son contrôle|DEA de Mécanique (Paris VI) et DEA de Dynamique des Fluides et des Transferts (Paris XI)| 55 p|||
2004|de Langre et Axisa F|Proceedings of the 8th International conference on flow-induced vibrations, FIV|éd. par École Polytechnique| vol. I, 522 p., vol. II, 550 p||
2004|Manneville P|Spatio-temporal chaos, In: Encyclopedia of Nonlinear Science|éd. par A. Scott (Taylor & Francis)||||
2004|Manneville P|Instabilités, Chaos et Turbulence|éd. École Polytechnique (distr. Ellipses)|346 p|||
2004|Manneville P|Instabilities, Chaos and Turbulence|éd. Imperial College Press (distr. World Scientific)| 391 p|||
2004|Salsac A.-V., Sparks S.R., Lasheras J.C|Changes in pressure and wall tension during the enlargement of abdominal aortic aneurysms. In: Simplicity, Rigor and Relevance in Fluid Mechanics|éd. Higuera F.J., Jiménez J., Vega J.M. (CIMNE Barcelona)||||
2005|Cossu C|On the minimum threshold energy and the nonlinearly-optimal perturbations in subcritical instabilities. IUTAM Symposium on Laminar-Turbulent Transition and Finite Amplitude Solutions|In Fluid Mechanics and its Applications, &Eacute;ds. T. Mullin and R. Kerswell| vol. 77, pp. 251-266|||
2005|Manneville P|Spatio-temporal chaos. In Encyclopedia of Nonlinear Science|&Eacute;d. A. Scott, Routledge (Taylor &amp; Francis)| pp. 860-863|||
2005|Manneville P|Modeling the direct transition to turbulence. IUTAM Symposium on Laminar-Turbulent Transition and Finite Amplitude Solutions, in Fluid Mechanics and its Applications|&Eacute;ds. T. Mullin and R. Kerswell| vol. 77, pp. 1-33|||
2005|Manneville P|Rayleigh-B&eacute;nard convection: thirty years of experi-mental, theoretical and modeling work. To appear in Spatio-temporal cellular structures - Henri B&eacute;nard centenary review|&Eacute;ditions I. Mutabazi, E. Guyon, J.E. Wesfreid (Springer)||||
2006|H&eacute;mon P|Vibrations des structures coupl&eacute;es avec le vent|Editions de l&rsquo;Ecole Polytechnique||||
2008|Baroud C.N|Encyclopedia of microfluidics and nanofluidics. Dongqing Li (Editeur en chef). Thermocapillarity, Marangoni convection|Editions Springer Reference||||
2008|Baroud C.N|Microfluidic drops as microreactors. Chapitre dans un ouvrage : Lab on a Chip Technologies and Applications. Horizon Scientific Press|Editeurs: Avraham Rasooly and Keith Herold||||
2008|de Langre E. & Chaigne A|Dynamique et Vibrations|Editions de l'Ecole Polytechnique| 152 pages|||
2009|Manneville P. & Pomeau Y|Transition to turbulence|Scholarpedia|4(3):2072|||
2009|Pasol L., Sellier A. & Feuillebois F|Slow viscous motion of a solid sphere in the vicinity of a plane solid wall|Chapitre à paraître dans le livre &quot;Theoretical Methods for Micro Scale Viscous Flows&quot||||
2009|Sellier A. & Feuillebois F|Co-Editeurs du livre &quot;Theoretical Methods for Micro Scale Viscous Flows&quot; qui rassemble plusieurs chapitres|A paraître||||
2009|Sellier A|Boundary Element Technique for slow viscous flows about particles|Editeur Ferri Aliabadi. World Scientific/Imperial College Press|Chapitre à paraître dans le livre &quot;State of the Art on BEM&quot;|||
2010|Manneville P|Instabilities, Chaos and Turbulence|Imperial College Press|2<sup>ème</sup> édition: 2010, 439 pages|||
2010|Chomaz J.-M, Ortiz S., Gallaire F. & Billant P|Stability of quasi two dimensional vortices|Lecture Notes in Physics, Editor Jan-Bert Flor|vol. 805, chapitre 2, pp.35-39|||
2014|Mazzag B., Gouget C. L. M., Hwang Y. & Barakat A. I|Mechanical force transmission via the cytoskeleton in vascular endothelial cells. In: Endothelial Cytoskeleton, Enfield|CRC Press|Chapitre 5, pp. 91-115||| 
2015|Bozsak F., Chomaz J. M., Barakat A. I. & Pontrelli G|On the role of phase change in modelling drug-eluting stents. In: Biomedical Technology, Lecture Notes|Applied and Computational Mechanics|Vol. 74, T. Lenarz & P. Wriggers, eds., Chapter 5, pp. 69-80, Springer|||
2015|Clanet C|Sports Ballistics Edited by: Davis H. Moin P|Annual Review of Fluid Mechanics|Vol. 47  Book Series: pp. 455-478 Published: 2015|||
2017|Chomaz J.-M|La science et l'art de sculpter les fluides, dans Images interactives|Collection essais|ed. La lettre volée|||
2017|Chomaz J.-M|Latent impacts catastrophes in slow motion, dans Man Made Clouds|ed. HYX|||| 
2017|Chomaz J.-M|Art et science, The big trail, dans du travail collectif à l'oeuvre|ed. Nouvelles éditions place||||
2017|Chomaz J.-M|The Flow,  dans Raw Flows|ed. Angewandte||||
2017|Chomaz J.-M|Biomimétisme : la forme, la fonction et la règle, dans Biomimétisme|ed. Loco||||
