2017|Auhemon Auamandolese Auandrianne|Ed29|Dr11|P.&nbsp;Hémon, X.&nbsp;Amandolèse and T.&nbsp;Andrianne.+Energy harvesting of prisms&#58; a wind tunnel experiment+Journal&nbsp;of&nbsp;Fluids&nbsp;and&nbsp;Structures+70:390-402++hemon2017rp-1pp.pdf|
2017|Auvirot Aufaranda Auamandolese Auhemon|Ed132|Dr11|E.&nbsp;Virot, D.&nbsp;Faranda, X.&nbsp;Amandolèse and P.&nbsp;Hémon.+Chaotic Dynamics of Flags from Recurring Values of Flapping Moment+International&nbsp;Journal&nbsp;of&nbsp;Bifurcation&nbsp;and&nbsp;Chaos+27&#44; Issue 2++virot2017rp-1pp.pdf|
2016|Auamselem Auguermonprez Audrogue Aumichelin Aubaroud|Ed64|Dr11|G.&nbsp;Amselem, C.&nbsp;Guermonprez, B.&nbsp;Drogue, S.&nbsp;Michelin and C.&nbsp;Baroud.+Universal microfluidic platform for bioassays in anchored droplets+Lab&nbsp;on&nbsp;Chip+16:4200-4211++amselem2016rp-1pp.pdf|
2016|Auantoinee Aucornat Aubarakat|Ed128|Dr11|E.&nbsp;Antoine, F.&nbsp;Cornat and A.&nbsp;Barakat.+The stentable in vitro artery&#58; an instrumented platform for endovascular device development and optimization+Journal&nbsp;of&nbsp;the&nbsp;Royal&nbsp;Society&nbsp;Interface+13&#44; Issue 125&#44; 20160834++|
2016|Auantoineg Audelangre Aumichelin|Ed82|Dr11|G.&nbsp;Antoine, E.&nbsp;de&nbsp;Langre and S.&nbsp;Michelin.+Optimal energy harvesting from Vortex-Induced Vibrations of cables+Proceedings&nbsp;of&nbsp;the&nbsp;Royal&nbsp;Society&nbsp;A+472 - 20160583++antoineg2016rp-1pp.pdf|
2016|Auarratia Auortiz Auchomaz|Ed127|Dr11|C.&nbsp;Arratia, S.&nbsp;Ortiz and J.&nbsp;M.&nbsp;Chomaz.+Inviscid Transient Growth on Horizontal Shear Layers with Strong Vertical Stratification+Nonlinear&nbsp;Dynamics:&nbsp;Materials,&nbsp;Theory&nbsp;and&nbsp;Experiments+173:199-206++|
2016|Aubasu Auwhitlock Auhusson Aufloch Aujin Audotiwala Augiannone Auhivroz Aulieberman Aukam Auhuse|Ed117|Dr11|R.&nbsp;Basu, BM.&nbsp;Whitlock, J.&nbsp;Husson, A.&nbsp;Le&nbsp;Floc'h, W.&nbsp;Jin, F.&nbsp;Dotiwala, G.&nbsp;Giannone, C.&nbsp;Hivroz, J.&nbsp;Lieberman, L.&nbsp;C.&nbsp;Kam and M.&nbsp;Huse.+Cytotoxic T cells use mechanical force to potentiate target cell killing+Cell+165:100-110++basu2016rp-1pp.pdf|
2016|Aubeneddine Ausipp Auarnault Audandois Aulesshafft|Ed1|Dr11|S.&nbsp;Beneddine, D.&nbsp;Sipp, N.&nbsp;Arnault, J.&nbsp;Dandois and L.&nbsp;Lesshafft.+Conditions for validity of mean flow stability analysis+Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics+798:485-504++|
2016|Aublanchard Auschmid Ausipp Auschuller|Ed1|Dr11|M.&nbsp;Blanchard, P.&nbsp;J.&nbsp;Schmid, D.&nbsp;Sipp and T.&nbsp;Schuller.+Pressure wave generation from perturbed premixed flames+Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics+797:231-246++|
2016|Auchomaz|Ed110|Dr11|J.&nbsp;M.&nbsp;Chomaz.+It is time to think the Anthropocene &#33; A manifesto+Accepted in Leonardo+++chomaz2016rp-1pp.pdf|
