2000|Ed38|delangre2000rp-5|Analyse dimensionnelle en interaction fluide-structure|Audelangre|Stpub|3-4|14|18|Rsno|Pppd|Dr5||
2001|Ed38|delangre2001rp-2|Simulation num&#233;rique en interaction fluide-structure|Audelangre|Stpub|1|34|38|Rsno|Pppd|Dr5|Kw5|
2004|Ed47|doare2004rp-1|Effect of plant interaction on wind-induced plant motion|Audoare Aumoulia Audelangre|Stpub|126|146|151|Rsno|Pppd|Dr5|Kw18|
2004|Ed1|gallaire2004rp-4|Closed-loop control of vortex breakdown&#58; a model study|Augallaire Auchomaz Auhuerre|Stpub|511|67|93|Rsno|Pppd|Dr9||
2004|Ed1|godoy2004rp-1|Vertical length scale selection for pancake vortices in strongly stratified viscous fluids|Augodoy Auchomaz Aubillant|Stpub|504|229|238|Rsno|Pppd|Dr4||
2006|Ed1|gallaire2006rp-1|Spiral vortex breakdown as a global mode|Augallaire Auruith Aumeiburg Auchomaz Auhuerre|Stpub|549|71|80|Rsno|Pppd|Dr1||
2005|Ed1|billant2005rp-1|Generalized Rayleigh criterion for non-axisymmetric centrifugal instabilities|Aubillant Augallaire|Stpub|542|365|379|Rsno|Pppd|Dr1||
2003|Ed1|gallaire2003rp-3|Mode selection in swirling jets &#58; a linear stability analysis|Augallaire Auchomaz|Stpub|494|223|253|Rsno|Pppd|Dr1||
2003|Ed1|julien2003rp-1|Three-dimensionnal instability and vorticity patterns in the wake of a flat plate|Aujulien Aulasheras Auchomaz|Stpub|479|155|189|Rsno|Pppd|Dr1|Kw6|
2006|Ed1|godoy2006rp-1|Internal gravity waves in a dipolar pancake wind&#58; a wave-vortex interaction experiment in a stratified fluid|Augodoy Auchomaz Audonnadieu|Stpub|548|281|308|Rsno|Pppd|Dr4||
1998|Ed29|delangre1998rp-1|An upperbound on random buffeting forces caused by two-phase flows across tubes|Audelangre Auvillard|Stpub|12|1005|1023|Rsno|Pppd|Dr5||
2003|Ed29|baj2003rp-1|Scaling of damping induced by bubbly flow across tubes|Aubaj Audelangre|Stpub|17|351|364|Rsno|Pppd|Dr5|Kw11|
2004|Ed29|matteo2004rp-2|Coupling of structure and wake oscillators in vortex-induced vibrations|Aumatteo Audelangre Aubiolley|Stpub|19&#40;2&#41;|123|140|Rsno|Pppd|Dr5|Kw10|
2003|Ed29|hemon2003rp-1|Applications of biorthogonal decompositions in fluid-structure interactions|Auhemon Ausanti|Stpub|17&#40;8&#41;|1123|1143|Rsno|Pppd|Dr5|Kw15|
2003|Ed32|delangre2003rp-1|Active vibration control for the measurement of fluidelastic effects|Aucaillaud Audelangre Aubaj|Stpub|125|165|170|Rsno|Pppd|Dr5||
2002|Ed35|delangre2002rp-1|Absolutely unstable waves in inviscid hydroelastic systems|Audelangre|Stpub|256&#47;2|299|317|Rsno|Pppd|Dr5|Kw1|
