2016|M.&nbsp;Guemas, A.&nbsp;Sellier and F.&nbsp;Pigeonneau.|Low-Reynolds number rising of a bubble near a free surface at vanishing Bond number|Physics&nbsp;of&nbsp;Fluids,|28 - issue 6 - 063102|||
2016|L.&nbsp;Guillou, A.&nbsp;Babataheri, P.&nbsp;H.&nbsp;Puech, A.&nbsp;Barakat and J.&nbsp;Husson.|Dynamic monitoring of cell mechanical properties using profile microindentation|Scientific&nbsp;Reports,|6 - 21529||guillou2016rp-1pp.pdf|
2016|L.&nbsp;Guillou, J.&nbsp;B.&nbsp;Dhal, J-M.&nbsp;G.&nbsp;Lin, A.&nbsp;Barakat, J.&nbsp;Husson, S.&nbsp;J.&nbsp;Muller and S.&nbsp;Kumar.|Measuring cell viscoelastic mechanical properties using a microfluidic extensional flow device Biophysical&nbsp;Journal, In press.||guillou2016rp-2pp.pdf|
2016|L.&nbsp;Guillou, A.&nbsp;Babataheri, M.&nbsp;Saitakis, A.&nbsp;Bohineust, S.&nbsp;Dogniaux, C.&nbsp;Hivroz, A.&nbsp;Barakat and J.&nbsp;Husson.|T lymphocyte passive deformation is controlled by unfolding of membrane surface reservoirs Molecular&nbsp;Biology&nbsp;of&nbsp;the&nbsp;Cell, In press.||guillou2016rp-3pp.pdf|
2016|J.&nbsp;Lafaurie-Janvore, E.&nbsp;Antoine, S.&nbsp;J.&nbsp;Perkins, A.&nbsp;Babataheri and A.&nbsp;Barakat.|A simple microfluidic device to study cell-scale endothelial mechanotransduction|Biomedical&nbsp;Microdevices,|18:1-12|||
2016|A.&nbsp;Lafont and J.&nbsp;Mensah-Gourmel.|Bioresorbable coronary scaff olds should disappear faster|Lancet,|387 - issue 10025:1275-1276|||
2016|E.&nbsp;Lauga and S.&nbsp;Michelin.|Stresslets induced by active swimmers|Physical&nbsp;Review&nbsp;Letters,|117 - 148001||lauga2016rp-1pp.pdf|
2016|E.&nbsp;Lecarpentier, M.&nbsp;Bhatt, G.&nbsp;I.&nbsp;Bertin, B.&nbsp;Deloison, L.&nbsp;J.&nbsp;Salomon, R.&nbsp;Lai&nbsp;Kuen, P.&nbsp;Deloron, T.&nbsp;Fournier, A.&nbsp;Barakat and V.&nbsp;Tsatsaris.|Determination of the wall shear stress exerted by the maternal circulation on the syncytiotrophoblast in human placenta|Plos&nbsp;One,|11 e0147262|||
2016|E.&nbsp;Lecarpentier, A.&nbsp;Atallah, J.&nbsp;Guibourdenche, M.&nbsp;Schuster, S.&nbsp;Vieillefosse, A.&nbsp;Chissey, B.&nbsp;Haddad, D.&nbsp;Evain-Brion, G.&nbsp;Pidoux, A.&nbsp;Barakat, T.&nbsp;Fournier and V.&nbsp;Tsatsaris.|Fluid shear stress promotes PlGF upregulation in human syncytiotrophoblast through the cAMP-PKA signaling pathway Hypertension, In press.|||
2016|T.&nbsp;Leclercq and E.&nbsp;de&nbsp;Langre.|Drag reduction by elastic reconfiguration of non-uniform beams in non-uniform flows|Journal&nbsp;of&nbsp;Fluids&nbsp;and&nbsp;Structures,|60:114-129||leclercq2016rp-1pp.pdf|
2016|M.&nbsp;Lisicki, S.&nbsp;Michelin and E.&nbsp;Lauga.|Phoretic flow induced by asymmetric confinement|Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|799:R-5||lisicki2016rp-1pp.pdf|
2016|H.&nbsp;de&nbsp;Maleprade, C.&nbsp;Clanet and D.&nbsp;Quere.|Spreading of Bubbles after Contacting the Lower Side of an Aerophilic Slide Immersed in Water|Physical&nbsp;Review&nbsp;Letters,|117-issue 9-094501|||
2016|P.&nbsp;Manneville.|Turbulent patterns made simple&#63;|Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|796:1-4||manneville2016rp-1pp.pdf|
2016|P.&nbsp;Manneville.|Transition to turbulence in wall-bounded flows&#58; Where do we stand&#63;|Bulletin&nbsp;of&nbsp;JSME,&nbsp;Mechanical&nbsp;Engineering&nbsp;Reviews,|3 n&#176;2|||
2016|P.&nbsp;McHugh, A.&nbsp;Barakat and S.&nbsp;McGinty.|Medical stents&#58; state of the art and future directions|Annals&nbsp;of&nbsp;Biomedical&nbsp;Engineering,|44:274-275|||
2016|J.&nbsp;Mougel, O.&nbsp;Doaré and S.&nbsp;Michelin.|Synchronized flutter of two slender flags|Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|801:652-669||mougel2016rp-1pp.pdf|
2016|M.&nbsp;Piñeirua, S.&nbsp;Michelin and O.&nbsp;Doaré.|Synchronized switch harvesting applied to piezoelectric flags|Smart&nbsp;Materials&nbsp;and&nbsp;Structures,|25 - 085004||pineirua2016rp-1pp.pdf|
2016|A.&nbsp;Sellier and S.H.&nbsp;Aydin.|Fundamental free-space solutions of a steady axisymetric MHD viscous flow|European&nbsp;Journal&nbsp;of&nbsp;Computational&nbsp;Mechanics,|25&#44; Issue 1-2 special issue:4200-4211|||
2016|O.&nbsp;Semeraro, L.&nbsp;Lesshafft, V.&nbsp;Jaunet and P.&nbsp;Jordan.|Modeling of coherent structures in a turbulent jet as global linear instability wavepackets&#58; Theory and experiment|International&nbsp;Journal&nbsp;of&nbsp;Heat&nbsp;and&nbsp;Fluid&nbsp;Flow,|62:24-32|||
2016|T.&nbsp;Seo, A.&nbsp;Lafont, S-Y.&nbsp;Choi and A.&nbsp;Barakat.|Drug-eluting stent design is a determinant of drug concentration at the endothelial cell surface|Annals&nbsp;of&nbsp;Biomedical&nbsp;Engineering,|44:302-314|||
2016|D.&nbsp;Soto, G.&nbsp;Lagubeau, C.&nbsp;Clanet and D.&nbsp;Quere.|Surfing on a herringbone|Physical&nbsp;Review&nbsp;Fluids,|1&#44; Issue 1&#44; 013902|||
